condition,seed,algorithm_family,count,rate,unique_code_count
extended-without-hypothesize-step120,101,local_search,0,0.0,1
extended-without-hypothesize-step120,101,simulated_annealing,894,1.0,1
extended-without-hypothesize-step120,202,local_search,0,0.0,12
extended-without-hypothesize-step120,202,simulated_annealing,903,1.0,12
extended-without-hypothesize-step120,303,local_search,875,1.0,3
extended-without-hypothesize-step120,303,simulated_annealing,0,0.0,3
extended-without-hypothesize-step150,101,local_search,0,0.0,2
extended-without-hypothesize-step150,101,simulated_annealing,894,1.0,2
extended-without-hypothesize-step150,202,local_search,0,0.0,2
extended-without-hypothesize-step150,202,simulated_annealing,903,1.0,2
extended-without-hypothesize-step150,303,local_search,875,1.0,1
extended-without-hypothesize-step150,303,simulated_annealing,0,0.0,1
extended-without-hypothesize-step180,101,random_search,0,0.0,1
extended-without-hypothesize-step180,101,simulated_annealing,894,1.0,1
extended-without-hypothesize-step180,202,random_search,0,0.0,3
extended-without-hypothesize-step180,202,simulated_annealing,903,1.0,3
extended-without-hypothesize-step180,303,random_search,875,1.0,1
extended-without-hypothesize-step180,303,simulated_annealing,0,0.0,1
