seed,family,row_count,pass_rate,mean_gap_lower,mean_gap_upper,median_gap_upper,best_gap_lower,best_gap_upper,mean_best_of_trials_gap_lower,mean_best_of_trials_gap_upper,median_best_of_trials_gap_upper,mean_makespan,median_makespan,best_makespan,makespan_stddev,pooled_makespan_stddev_across_instances,mean_within_instance_makespan_stddev,max_within_instance_makespan_stddev,mean_execution_time,runtime_stddev,mean_within_instance_runtime_stddev,ortools_pass_rate,ortools_mean_gap_upper,ortools_mean_best_of_trials_gap_upper,ortools_best_makespan,ortools_mean_execution_time,ortools_runtime_stddev,mean_within_instance_ortools_makespan_stddev
101,abz,10,1.0,0.07020225804400246,0.07020225804400246,0.061505832449628844,0.041357370095440084,0.041357370095440084,0.04336912264901664,0.04336912264901664,0.04336912264901664,1167.6,1151.5,982.0,177.6700312376851,177.6700312376851,22.78327005044163,34.696397507522306,0.4625455379486084,0.01107466214642525,0.009530587135560317,1.0,0.0,0.0,943.0,2.7383659481994984,1.9864515417701936,0.0
101,ft,15,1.0,0.12417121512788133,0.12417121512788133,0.14516129032258066,0.0,0.0,0.083417170458566,0.083417170458566,0.11720430107526882,840.4,1090.0,55.0,568.6233434063947,568.6233434063947,23.99007983043225,43.07481862991416,0.4095293998718262,0.07392078030816439,0.010876206532210365,1.0,0.0,0.0,55.0,2.256916871733362,2.0987555382588736,0.0
101,la,150,1.0,0.06338370318037871,0.06338370318037871,0.05645937620331151,0.0,0.0,0.04070616956382203,0.04070616956382203,0.03366976123555631,1029.5133333333333,1037.5,593.0,237.42883106780064,237.42883106780064,16.827077811056036,37.801587268261635,0.40700512727101645,0.09346317779710682,0.006728972124978093,1.0,0.012599381822436357,0.010517329621902537,590.0,1.8811539457402735,2.1624390155255786,2.1096371726100065
101,orb,50,1.0,0.14563091961663843,0.14563091961663843,0.13782895451549745,0.045771144278606964,0.045771144278606964,0.1148663157240298,0.1148663157240298,0.09684542855197767,1036.26,1061.0,435.0,216.61374009974529,216.61374009974529,23.73221674288142,39.5302415879286,0.3399392032623291,0.006861893322831415,0.003959144880792402,1.0,0.005505285077726908,0.0023423956703733455,397.0,3.828520003259473,1.3501588459024323,2.9164457373519994
101,swv,25,1.0,0.3128388870040343,0.3228385031591609,0.31741573033707865,0.25178826895565093,0.26305084745762713,0.26615219327567896,0.27567101792479737,0.2752808988764045,1884.64,1897.0,1750.0,65.26982763881026,65.26982763881026,43.98014863866685,54.77809781290329,0.5718654346466064,0.011635051927597985,0.005623016395146064,1.0,0.11898661796913201,0.10658220045861991,1517.0,5.027183711120451,0.012456331164670032,16.777930953360595
202,abz,10,1.0,0.04868845077006897,0.04868845077006897,0.03866199979031712,0.022690437601296597,0.022690437601296597,0.026191454219524228,0.026191454219524228,0.026191454219524228,1141.7,1137.5,971.0,155.93655761238287,155.93655761238287,22.703187946649543,30.049292836937113,0.48064227104187013,0.009383527845612387,0.009085808384588275,1.0,0.0,0.0,943.0,2.936274350399617,2.0763541837749724,0.0
202,ft,15,1.0,0.054378339675307696,0.054378339675307696,0.060085836909871244,0.0,0.0,0.042253911117264294,0.042253911117264294,0.055793991416309016,770.1333333333333,1002.0,55.0,513.7843732756206,513.7843732756206,10.300376040187013,21.010473578670233,0.42490681012471515,0.08303885295246882,0.00882375667343232,1.0,0.002007168458781362,0.0,55.0,2.274367107466484,2.082310641369807,0.9797958971132713
202,la,150,1.0,0.041345061996706754,0.041345061996706754,0.022826948005185078,0.0,0.0,0.02702304940268353,0.02702304940268353,0.013447541274631634,1009.9266666666666,988.0,593.0,238.74078262602913,238.74078262602913,12.097124988364364,43.44836015317494,0.41887923240661623,0.09881863448790904,0.0056258413261221765,1.0,0.013745127162474422,0.010918854404142038,590.0,1.9322880036267451,2.1699790820301126,2.0872233247167564
202,orb,50,1.0,0.08114082343696001,0.08114082343696001,0.07241214110287558,0.016891891891891893,0.016891891891891893,0.044459016329391136,0.044459016329391136,0.0423498945159454,976.7,1010.5,405.0,197.26543032168613,197.26543032168613,24.736201987824266,54.54759389743969,0.3510593271255493,0.011945145368719665,0.0051680527918516175,1.0,0.008129826525470216,0.00226628895184136,397.0,3.8797648977203063,1.271671504189028,5.113044668525302
202,swv,25,1.0,0.22255134532888174,0.2316649037128911,0.22823033707865167,0.16350067842605157,0.1812366737739872,0.18113711685656333,0.18993148592774034,0.1871186440677966,1754.72,1752.0,1631.0,52.55589025028498,52.55589025028498,41.77687457793202,55.68698232082611,0.5839312362670899,0.010570907311069378,0.004721751944062691,1.0,0.12251663121646088,0.11047025948636917,1534.0,5.027278512680787,0.012053715466566908,14.795494315211164
