seed,jobs,machines,row_count,pass_rate,mean_gap_lower,mean_gap_upper,median_gap_upper,best_gap_lower,best_gap_upper,mean_best_of_trials_gap_lower,mean_best_of_trials_gap_upper,median_best_of_trials_gap_upper,mean_makespan,median_makespan,best_makespan,makespan_stddev,pooled_makespan_stddev_across_instances,mean_within_instance_makespan_stddev,max_within_instance_makespan_stddev,mean_execution_time,runtime_stddev,mean_within_instance_runtime_stddev,ortools_pass_rate,ortools_mean_gap_upper,ortools_mean_best_of_trials_gap_upper,ortools_best_makespan,ortools_mean_execution_time,ortools_runtime_stddev,mean_within_instance_ortools_makespan_stddev
101,6,6,5,1.0,0.021818181818181816,0.021818181818181816,0.0,0.0,0.0,0.0,0.0,0.0,56.2,55.0,55.0,1.6,1.6,1.6,1.6,0.306382942199707,0.0177177510432762,0.0177177510432762,1.0,0.0,0.0,55.0,0.0076617163969785905,4.917741169935407e-05,0.0
101,10,5,25,1.0,0.051199849064868304,0.051199849064868304,0.038525963149078725,0.0,0.0,0.01774271365452787,0.01774271365452787,0.021374045801526718,651.68,666.0,593.0,42.618981686567786,42.618981686567786,19.492988769534627,37.801587268261635,0.3420404529571533,0.008271427931436513,0.006455179747992354,1.0,0.0,0.0,590.0,0.1417015807601274,0.17274046702343634,0.0
101,10,10,90,1.0,0.12148558945015679,0.12148558945015679,0.1068961818961819,0.041273584905660375,0.041273584905660375,0.0905853283076797,0.0905853283076797,0.07531989724876362,1026.4222222222222,1036.5,435.0,189.99491091300183,189.99491091300183,22.903328622444487,39.5302415879286,0.3613688654369778,0.04570034438466228,0.0047134843778520365,1.0,0.003058491709848282,0.001301330927985192,397.0,3.0767354229217743,1.8051254291763335,1.6202476318622219
101,15,5,25,1.0,0.008575885010480816,0.008575885010480816,0.0,0.0,0.0,0.0006741573033707865,0.0006741573033707865,0.0,925.2,926.0,863.0,34.44996371551065,34.44996371551065,7.8383330921369945,28.79166546068497,0.35793140411376956,0.0606652243836284,0.012991046936974985,1.0,0.0,0.0,863.0,0.12048940152075374,0.08747250693048281,0.0
101,15,10,25,1.0,0.11192339618767491,0.11192339618767491,0.11361310133060389,0.02616279069767442,0.02616279069767442,0.08032742867406875,0.08032742867406875,0.09416581371545547,1092.96,1083.0,985.0,55.482234994635895,55.482234994635895,22.978233993849127,36.2712006969717,0.45641006469726564,0.011528342423323214,0.0069700872585728366,1.0,0.012898895011171457,0.005124331333641935,927.0,4.318945542039874,1.370781430349028,7.211254970806721
101,20,5,30,1.0,0.03449842537510682,0.03449842537510682,0.0,0.0,0.0,0.022450701854821602,0.022450701854821602,0.0,1219.5,1222.0,1039.0,109.19546693887983,109.19546693887983,10.209721273700548,43.07481862991416,0.37217259407043457,0.04049737640170207,0.006211176658822884,1.0,0.0,0.0,1039.0,0.5891454179679082,0.5919243772231549,0.0
101,20,10,50,1.0,0.21608878925828012,0.22108859733584343,0.23135181261770246,0.03985239852398524,0.03985239852398524,0.1778637348380084,0.1826231471625676,0.1974976459510358,1632.96,1628.0,1304.0,259.0966584114894,259.0966584114894,35.29060024222018,54.77809781290329,0.5796584606170654,0.011920918356127795,0.00493563888854978,1.0,0.09084200694628936,0.0822809234281966,1266.0,5.027376501360413,0.012568752961652538,11.112249509106958
202,6,6,5,1.0,0.007272727272727273,0.007272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,55.4,55.0,55.0,0.8,0.8,0.8,0.8,0.30855388641357423,0.005614923850105088,0.005614923850105088,1.0,0.0,0.0,55.0,0.007699807602330111,2.5940112577348687e-05,0.0
202,10,5,25,1.0,0.017718012584161155,0.017718012584161155,0.010169491525423728,0.0,0.0,0.011775576896861935,0.011775576896861935,0.005084745762711864,631.0,626.0,593.0,32.617786558869994,32.617786558869994,3.5651607085496906,10.011992808627062,0.3548262500762939,0.009165755376413972,0.005605867484053338,1.0,0.0,0.0,590.0,0.15849251272040418,0.19710962142717303,0.0
202,10,10,90,1.0,0.06852691203394189,0.06852691203394189,0.0620338899561598,0.006377551020408163,0.006377551020408163,0.03848981253579682,0.03848981253579682,0.03705553313604161,977.2222222222222,991.0,405.0,173.53832607606873,173.53832607606873,22.44327210421054,54.54759389743969,0.3725400818718804,0.04874413687090442,0.004923496146823085,1.0,0.004851098368391458,0.0012590494176896443,397.0,3.11374317791148,1.7810957279877182,3.0038796875884906
202,15,5,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.6,926.0,863.0,36.2248533468391,36.2248533468391,0.0,0.0,0.3647076892852783,0.06759575011191347,0.015138321818003378,1.0,0.0,0.0,863.0,0.12207341915927827,0.08845745684373318,0.0
202,15,10,25,1.0,0.07566465153729923,0.07566465153729923,0.07170172084130019,0.011627906976744186,0.011627906976744186,0.04867086770697333,0.04867086770697333,0.04854368932038835,1057.32,1049.0,972.0,54.5275856791771,54.5275856791771,25.57395498656954,37.39732610762432,0.4734738063812256,0.008382602978517938,0.004792061047970429,1.0,0.014174970735958971,0.0031441879813244736,927.0,4.648612308360753,0.8419166426516302,8.210163986024707
202,20,5,30,1.0,0.011141872695399867,0.011141872695399867,0.0,0.0,0.0,0.009298998569384835,0.009298998569384835,0.0,1192.1666666666667,1222.0,1039.0,80.42183921188462,80.42183921188462,2.648442423648468,9.090654541890808,0.38210923671722413,0.04867220180724787,0.0046289683094187465,1.0,0.0,0.0,1039.0,0.6022169163324482,0.5864705040862165,0.0
202,20,10,50,1.0,0.165050704081789,0.1696074832737937,0.18199764723182119,0.04597701149425287,0.04597701149425287,0.12892690313682473,0.13332408767241324,0.16223292022032693,1560.42,1542.0,1274.0,201.442407650425,201.442407650425,32.910251553941706,55.68698232082611,0.5960661888122558,0.01462323357090001,0.0039014498112399593,1.0,0.09540621172767422,0.08641959896494847,1272.0,5.02840619634022,0.012657476126998711,9.554335138743497
