Method,Seeds,PassRateFeasibleBenchmarkMean,PassRateFeasibleBenchmarkStd,CertifiedOptimalGapMean,CertifiedOptimalGapStd,CertifiedOptimalGapLowerMean,CertifiedOptimalGapUpperMean,CertifiedOptimalReferenceIntervalMean,CertifiedOptimalReferenceIntervalMax,CertifiedOptimalReferenceRelativeIntervalMax,CertifiedOptimumAttainmentMean,AllFeasibleGapLowerMean,AllFeasibleGapUpperMean,ProvedInfeasibleRows,FalseFeasibleOnProvedInfeasible
Adaptive Repair (64 completions),3,0.4856823373053824,0.05872241699881011,0.6226461869466456,0.12669281645318228,0.6226461869466456,0.6226462536981412,6.5484223686813996e-06,8.726056470464982e-05,1.5188176001531017e-06,0.11436572103431586,0.6214171127272381,0.631057383473185,51,0
Base (Best-of-64),3,0.860851764276468,0.015291728860935036,0.31788067282979776,0.0205824842433476,0.31788067282979776,0.3178807722549745,6.5484223686813996e-06,8.726056470464982e-05,1.5188176001531017e-06,0.29974904797102475,0.3172878546172403,0.33404211426569735,51,0
BnB,3,0.9889480574339778,0.0016303189741402287,0.17806919376385796,0.014219480622086961,0.17806919376385796,0.1780692734485764,6.5484223686813996e-06,8.726056470464982e-05,1.5188176001531017e-06,0.5520592153124085,0.19441995693929784,0.20090624469180707,51,0
CP-SAT,3,1.0,0.0,9.000376732560223e-18,1.7401777736383806e-18,9.000376732560223e-18,1.0810553191895755e-07,6.5484223686813996e-06,8.726056470464982e-05,1.5188176001531017e-06,1.0,0.00011109842195040026,0.02417777489285272,51,0
"Certified Universal Search (191,699 pool)",3,0.973420038962769,0.022134635269741392,0.18147402386826328,0.054226404213200484,0.18147402386826328,0.18147412413479977,6.5484223686813996e-06,8.726056470464982e-05,1.5188176001531017e-06,0.06441980379665226,0.18791452274654705,0.20285257360723144,51,0
Frozen Hero,3,0.9767131322593364,0.0025332342751251276,0.05275833293633,0.00940189737312311,0.05275833293633,0.05275843785290275,6.5484223686813996e-06,8.726056470464982e-05,1.5188176001531017e-06,0.5383856195226985,0.05641733096887208,0.07639404943299893,51,0
GPT-5.4-mini Medium-Reasoning Repair (64 completions),3,0.9981124952812381,0.003269254072421423,0.003343937780110096,0.0033598788460957514,0.003343937780110096,0.003344045840685924,6.5484223686813996e-06,8.726056470464982e-05,1.5188176001531017e-06,0.9788280262763648,0.003669427083767225,0.02747592776297357,51,0
Greedy,3,0.9996203492786636,0.0006575743384847668,0.24985679805102456,0.008868718202071064,0.24985679805102456,0.24985688115006718,6.5484223686813996e-06,8.726056470464982e-05,1.5188176001531017e-06,0.22830169125290226,0.24310210711622057,0.2665204586243131,51,0
Hand-written SA,3,0.9694671399297029,0.0019387100939478846,0.027684478367147953,0.0011986919135093831,0.027684478367147953,0.027684586017502705,6.5484223686813996e-06,8.726056470464982e-05,1.5188176001531017e-06,0.7989456684499386,0.05125278658058916,0.05555956416109225,51,0
Local Search,3,1.0,0.0,0.09094738394942008,0.006486082960782628,0.09094738394942008,0.09094748378481442,6.5484223686813996e-06,8.726056470464982e-05,1.5188176001531017e-06,0.6105035201381042,0.08864481796818434,0.11230222025245824,51,0
Ours (Hero),3,0.9946213204781834,0.004818833581661091,0.04000709076124861,0.015640302025261288,0.04000709076124861,0.04000719711725532,6.5484223686813996e-06,8.726056470464982e-05,1.5188176001531017e-06,0.5110653509429687,0.04347705366917461,0.06394539363981397,51,0
ShinkaEvolve,3,0.9274133198179316,0.01578758913272943,0.1509379129784453,0.02220643623207954,0.1509379129784453,0.1509380112886541,6.5484223686813996e-06,8.726056470464982e-05,1.5188176001531017e-06,0.5529682847256613,0.1492572906308046,0.1711176279561617,51,0
