method,family,trial_count,instance_count,feasibility,mean_gap,median_gap,best_gap,mean_best_of_five_gap,mean_tour_length,runtime_mean,runtime_stddev,mean_within_instance_gap_stddev,max_within_instance_gap_stddev
trained,berlin,15,1,1.0,0.10847697339344117,0.05860514452399894,0.022407849376823125,0.022407849376823125,8360.133333333333,0.21958961967999738,0.05514526980928533,0.09374185518703997,0.09374185518703997
trained,eil,30,2,1.0,0.12772454636950162,0.06842417578581775,0.018779342723004695,0.024259559837338778,543.2666666666667,0.33002360894655186,0.25617671190942454,0.11713332424119163,0.12383651966347353
trained,kroa,15,1,1.0,0.1135889484071046,0.054318203176393194,0.005027722958368575,0.005027722958368575,23699.4,1.4769137595314532,1.0297829648641559,0.12233051062163043,0.12233051062163043
trained,krob,15,1,1.0,0.11174743688180298,0.043268145070231696,0.023350345512849466,0.023350345512849466,24615.2,1.2366364517249167,0.842486545721423,0.10255447839712672,0.10255447839712672
trained,kroc,15,1,1.0,0.1177888090992337,0.06525615692322521,0.02327823027615789,0.02327823027615789,23193.0,1.2514088427880778,0.9095027001334348,0.11870187748103139,0.11870187748103139
trained,krod,15,1,1.0,0.13564384333615104,0.07260261106414953,0.022917253686484455,0.022917253686484455,24182.4,1.178886886072966,0.8269860732498993,0.11042842787730107,0.11042842787730107
trained,kroe,15,1,1.0,0.10298471391456711,0.05265542867500453,0.01803516403842668,0.01803516403842668,24340.666666666668,1.3533323457930237,0.9262760590540111,0.10496746035566344,0.10496746035566344
trained,pr,15,1,1.0,0.15657134403979325,0.0484934217217245,0.020774970182786453,0.020774970182786453,125093.6,0.6022698920918629,0.3882080311054771,0.15696433873064414,0.15696433873064414
trained,rat,15,1,1.0,0.12590145884943574,0.06606110652353427,0.03963666391412056,0.03963666391412056,1363.4666666666667,1.0402599972051878,0.6984828930008207,0.10502074091172325,0.10502074091172325
trained,rd,15,1,1.0,0.13680573114201433,0.08356510745891277,0.05524652338811631,0.05524652338811631,8992.133333333333,1.5956746330795188,1.1082536569047363,0.09694281348892002,0.09694281348892002
trained,st,15,1,1.0,0.12898765432098766,0.07703703703703704,0.06518518518518518,0.06518518518518518,762.0666666666667,0.4103812117362395,0.2434108577941823,0.07667429635401903,0.07667429635401903
base64,berlin,15,1,1.0,0.2729603111464687,0.31821797931583135,0.08631662688941925,0.08631662688941925,9600.666666666666,1.597342197659115,0.985517043289097,0.1650996023014668,0.1650996023014668
base64,eil,30,2,1.0,0.4485569343362945,0.45539906103286387,0.06319702602230483,0.06446236277641063,705.5333333333333,2.1835858962032946,1.4881989413712051,0.3037960033210127,0.39308259477744545
base64,kroa,15,1,0.3333333333333333,0.6900197349873132,1.0,0.07005920496193967,0.07005920496193967,22773.0,4.211477269985092,1.2214004808474332,0.43837829484894786,0.43837829484894786
base64,krob,15,1,0.3333333333333333,0.7000587146018699,1.0,0.1001761438056095,0.1001761438056095,24359.0,4.039298535254784,1.483731690812209,0.42418103372565485,0.42418103372565485
base64,kroc,15,1,0.3333333333333333,0.714861760406124,1.0,0.14458528121837197,0.14458528121837197,23749.0,3.9536433710406222,1.5654958761156352,0.4032463655848485,0.4032463655848485
base64,krod,15,1,0.3333333333333333,0.7161328699790238,1.0,0.14839860993707146,0.14839860993707146,24454.0,4.0434697965936115,1.4918431050251837,0.40144874518759127,0.40144874518759127
base64,kroe,15,1,0.3333333333333333,0.6922391396290254,1.0,0.07671741888707631,0.07671741888707631,23761.0,3.969786860072054,1.60157830313424,0.4352395827042446,0.4352395827042446
base64,pr,15,1,1.0,0.7813700200630553,1.0075444484508917,0.14619218003125029,0.14619218003125029,192671.2,3.0204454189942527,1.4984781168487942,0.4730723996367755,0.4730723996367755
base64,rat,15,1,0.3333333333333333,0.7266721717588769,1.0,0.18001651527663087,0.18001651527663087,1429.0,3.8613352748875815,1.7393162468489907,0.38654392167258006,0.38654392167258006
base64,rd,15,1,0.3333333333333333,0.6991150442477877,1.0,0.09734513274336283,0.09734513274336283,8680.0,4.194505490533387,1.4167786278302315,0.4255155851388074,0.4255155851388074
base64,st,15,1,1.0,0.6466172839506172,0.6118518518518519,0.09333333333333334,0.09333333333333334,1111.4666666666667,2.5758514620441324,1.4318245548032174,0.4726567909231727,0.4726567909231727
nearest_neighbor,berlin,5,1,1.0,0.08472553699284009,0.08472553699284009,0.08472553699284009,0.08472553699284009,8181.0,0.0068829554133117195,6.0597631465498403e-05,0.0,0.0
nearest_neighbor,eil,10,2,1.0,0.13078346161230084,0.1307834616123008,0.13011152416356878,0.1307834616123008,545.0,0.012953261099755763,0.006633460462076044,0.0,0.0
nearest_neighbor,kroa,5,1,1.0,0.1605112301475425,0.1605112301475425,0.1605112301475425,0.1605112301475425,24698.0,0.04646324501372874,0.00010625010087454272,0.0,0.0
nearest_neighbor,krob,5,1,1.0,0.1690528883067612,0.1690528883067612,0.1690528883067612,0.1690528883067612,25884.0,0.04623016421683133,0.00017796862405250463,0.0,0.0
