method,n_cities,trial_count,instance_count,feasibility,mean_gap,median_gap,best_gap,mean_best_of_five_gap,mean_tour_length,runtime_mean,runtime_stddev,mean_within_instance_gap_stddev,max_within_instance_gap_stddev
trained,51,15,1,1.0,0.13302034428794993,0.08215962441314555,0.018779342723004695,0.018779342723004695,482.6666666666667,0.1896931191207841,0.09092269061867987,0.12383651966347353,0.12383651966347353
trained,52,15,1,1.0,0.10847697339344117,0.05860514452399894,0.022407849376823125,0.022407849376823125,8360.133333333333,0.21958961967999738,0.05514526980928533,0.09374185518703997,0.09374185518703997
trained,70,15,1,1.0,0.12898765432098766,0.07703703703703704,0.06518518518518518,0.06518518518518518,762.0666666666667,0.4103812117362395,0.2434108577941823,0.07667429635401903,0.07667429635401903
trained,76,30,2,1.0,0.13950004624542328,0.06133828996282528,0.020774970182786453,0.02525737356722966,62848.73333333333,0.5363119954320913,0.3485736297462717,0.13369723377477694,0.15696433873064414
trained,99,15,1,1.0,0.12590145884943574,0.06606110652353427,0.03963666391412056,0.03963666391412056,1363.4666666666667,1.0402599972051878,0.6984828930008207,0.10502074091172325,0.10502074091172325
trained,100,90,6,1.0,0.11975991379681229,0.06503157240356808,0.005027722958368575,0.024642539976733897,21503.8,1.3488088198316595,0.9570674039172016,0.10932092803694553,0.12233051062163043
base64,51,15,1,1.0,0.31768388106416273,0.2793427230046948,0.06572769953051644,0.06572769953051644,561.3333333333334,1.535629951270918,0.962238116177155,0.21450941186457995,0.21450941186457995
base64,52,15,1,1.0,0.2729603111464687,0.31821797931583135,0.08631662688941925,0.08631662688941925,9600.666666666666,1.597342197659115,0.985517043289097,0.1650996023014668,0.1650996023014668
base64,70,15,1,1.0,0.6466172839506172,0.6118518518518519,0.09333333333333334,0.09333333333333334,1111.4666666666667,2.5758514620441324,1.4318245548032174,0.4726567909231727,0.4726567909231727
base64,76,30,2,1.0,0.6804000038357408,0.8085445748997302,0.06319702602230483,0.10469460302677755,96760.46666666666,2.9259936300649616,1.5695787843183866,0.4330774972071105,0.4730723996367755
base64,99,15,1,0.3333333333333333,0.7266721717588769,1.0,0.18001651527663087,0.18001651527663087,1429.0,3.8613352748875815,1.7393162468489907,0.38654392167258006,0.38654392167258006
base64,100,90,6,0.3333333333333333,0.7020712106418573,1.0,0.07005920496193967,0.10621363192557197,21296.0,4.068696887246592,1.4721131076932406,0.4213349345316824,0.43837829484894786
nearest_neighbor,51,5,1,1.0,0.13145539906103287,0.13145539906103287,0.13145539906103287,0.13145539906103287,482.0,0.006320240208879113,3.891743757154443e-05,0.0,0.0
nearest_neighbor,52,5,1,1.0,0.08472553699284009,0.08472553699284009,0.08472553699284009,0.08472553699284009,8181.0,0.0068829554133117195,6.0597631465498403e-05,0.0,0.0
nearest_neighbor,70,5,1,1.0,0.17925925925925926,0.17925925925925926,0.17925925925925926,0.17925925925925926,796.0,0.015450966591015459,6.872136986439316e-05,0.0,0.0
nearest_neighbor,76,10,2,1.0,0.17028047754697914,0.17028047754697914,0.13011152416356878,0.17028047754697914,65764.5,0.019805871997959912,0.0003334707002175438,0.0,0.0
nearest_neighbor,99,5,1,1.0,0.18662262592898432,0.18662262592898432,0.18662262592898432,0.18662262592898432,1437.0,0.043130790791474284,0.0002737400151566743,0.0,0.0
nearest_neighbor,100,30,6,1.0,0.15853495458698294,0.16380027554150867,0.12298350552836687,0.15853495458698297,22216.5,0.04646541653200984,0.00036897582946589035,0.0,0.0
insertion,51,5,1,1.0,0.1244131455399061,0.12441314553990611,0.12441314553990611,0.12441314553990611,479.0,0.0036272416124120354,2.5182581425710895e-05,0.0,0.0
insertion,52,5,1,1.0,0.1422699549191196,0.1422699549191196,0.1422699549191196,0.1422699549191196,8615.0,0.0043702844064682726,2.5638420001550727e-05,0.0,0.0
insertion,70,5,1,1.0,0.14222222222222222,0.14222222222222222,0.14222222222222222,0.14222222222222222,771.0,0.009268974955193698,7.95351355757181e-05,0.0,0.0
insertion,76,10,2,1.0,0.09626690308028202,0.09626690308028202,0.08472711471074991,0.09626690308028202,58959.5,0.012701364909298718,0.0007587146133307655,0.0,0.0
insertion,99,5,1,1.0,0.1370767960363336,0.1370767960363336,0.1370767960363336,0.1370767960363336,1377.0,0.026598935993388296,0.00011878525280530286,0.0,0.0
insertion,100,30,6,1.0,0.1491058985261084,0.15755054699553311,0.08899764364690955,0.1491058985261084,22154.333333333332,0.03138425515498966,0.00043051496565330293,0.0,0.0
two_opt,51,5,1,1.0,0.018309859154929577,0.018779342723004695,0.01643192488262911,0.01643192488262911,433.8,0.20904265779536219,0.0022685284094945937,0.0009389671361502344,0.0009389671361502344
