seed,condition,method,instance,family,n_cities,repetition,trial_seed,feasible,tour_length,optimum,optimality_gap,runtime_seconds,status,solver_sha256
101,trained,trained,berlin52,berlin,52,0,2528638162,True,7711.0,7542.0,0.022407849376823125,0.2746888370020315,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,berlin52,berlin,52,1,502307351,True,7711.0,7542.0,0.022407849376823125,0.28522790409624577,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,berlin52,berlin,52,2,1237329856,True,7711.0,7542.0,0.022407849376823125,0.2779090900439769,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,berlin52,berlin,52,3,1948632155,True,7711.0,7542.0,0.022407849376823125,0.2843323160195723,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,berlin52,berlin,52,4,4072241027,True,7711.0,7542.0,0.022407849376823125,0.2760318990331143,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,eil51,eil,51,0,3131999028,True,434.0,426.0,0.018779342723004695,0.2854713851120323,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,eil51,eil,51,1,1812307769,True,434.0,426.0,0.018779342723004695,0.28661029296927154,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,eil51,eil,51,2,2268598784,True,434.0,426.0,0.018779342723004695,0.2820668169297278,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,eil51,eil,51,3,2919328474,True,434.0,426.0,0.018779342723004695,0.2809707230189815,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,eil51,eil,51,4,2571523074,True,434.0,426.0,0.018779342723004695,0.29496341198682785,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,eil76,eil,76,0,3433763816,True,554.0,538.0,0.02973977695167286,0.6656916219508275,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,eil76,eil,76,1,910322075,True,554.0,538.0,0.02973977695167286,0.6668791049160063,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,eil76,eil,76,2,3677671294,True,554.0,538.0,0.02973977695167286,0.662197650060989,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,eil76,eil,76,3,3928335310,True,554.0,538.0,0.02973977695167286,0.6585288990754634,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,eil76,eil,76,4,3590558309,True,554.0,538.0,0.02973977695167286,0.6650656249839813,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroA100,kroa,100,0,697515077,True,21389.0,21282.0,0.005027722958368575,1.9368799870135263,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroA100,kroa,100,1,2142495717,True,21389.0,21282.0,0.005027722958368575,1.948424751055427,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroA100,kroa,100,2,1141491425,True,21389.0,21282.0,0.005027722958368575,1.9634434230392799,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroA100,kroa,100,3,1949257182,True,21389.0,21282.0,0.005027722958368575,1.9427106869406998,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroA100,kroa,100,4,2564385088,True,21389.0,21282.0,0.005027722958368575,1.9643336029257625,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroB100,krob,100,0,2587208514,True,23099.0,22141.0,0.043268145070231696,1.8644224780146033,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroB100,krob,100,1,2024959662,True,23099.0,22141.0,0.043268145070231696,1.8516955429222435,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroB100,krob,100,2,1134417164,True,23099.0,22141.0,0.043268145070231696,1.8668968980200589,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroB100,krob,100,3,2596872667,True,23099.0,22141.0,0.043268145070231696,1.8610203750431538,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroB100,krob,100,4,2243233554,True,23099.0,22141.0,0.043268145070231696,1.8591668319422752,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroC100,kroc,100,0,2777388299,True,21232.0,20749.0,0.02327823027615789,1.6678606070345268,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroC100,kroc,100,1,504189880,True,21232.0,20749.0,0.02327823027615789,1.6710298201069236,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
