Method,Seed,Rows,FeasibleBenchmarkRows,ProvedInfeasibleRows,PassRateFeasibleBenchmark,PassRateAllRows,CertifiedOptimalRows,CertifiedOptimalGapMean,CertifiedOptimalGapLowerMean,CertifiedOptimalGapUpperMean,CertifiedOptimalReferenceIntervalMean,CertifiedOptimalReferenceIntervalMax,CertifiedOptimalReferenceRelativeIntervalMax,CertifiedOptimumAttainmentRate,UnresolvedFeasibleRows,UnresolvedGapLowerMean,UnresolvedGapUpperMean,AllFeasibleGapLowerMean,AllFeasibleGapUpperMean,FalseFeasibleOnProvedInfeasible
Adaptive Repair (64 completions),101,894,878,16,0.5182232346241458,0.5089485458612976,847,0.5228319048586543,0.5228319048586543,0.5228319878068322,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.13695395513577333,31,0.5287694190183833,0.8609461702764902,0.5230415437412871,0.5347699600808179,0
Adaptive Repair (64 completions),202,903,883,20,0.4178935447338618,0.40863787375415284,859,0.7651756879221605,0.7651756879221605,0.7651757178250668,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.06053550640279395,24,0.8517526303726605,0.9527173917738638,0.7675288551008831,0.7702731132664836,0
Adaptive Repair (64 completions),303,875,860,15,0.5209302325581395,0.512,831,0.5799309680591219,0.5799309680591219,0.5799310554625248,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.14560770156438027,29,0.3945852887888826,0.8230447997510284,0.5736809393395441,0.5881290770722534,0
Base (Best-of-64),101,894,878,16,0.8462414578587699,0.831096196868009,847,0.33304531239327073,0.33304531239327073,0.3330454077119214,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.28807556080283353,31,0.3483157874362302,0.8350726001881106,0.33358447495173515,0.3507707413870488,0
Base (Best-of-64),202,903,883,20,0.8595696489241224,0.840531561461794,859,0.32614650555269453,0.32614650555269453,0.32614659612703556,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.28987194412107103,24,0.24835439904783785,0.8349879092391425,0.32403211081190564,0.3399769375932763,0
Base (Best-of-64),303,875,860,15,0.8767441860465116,0.8617142857142858,831,0.29445020054342796,0.29445020054342796,0.2944503129259665,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.3212996389891697,29,0.28842360359173347,0.7964634772738483,0.2942469780880801,0.31137866381676715,0
BnB,101,894,878,16,0.9874715261958997,0.9697986577181208,847,0.18383077407662257,0.18383077407662257,0.183830847003611,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.538370720188902,31,0.6484513253136227,0.8794505485484639,0.2002353721271317,0.20839145150006932,0
BnB,202,903,883,20,0.9886749716874292,0.9667774086378738,859,0.16187312015624644,0.16187312015624644,0.1618731987676161,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.5750873108265425,24,0.7697545801926301,0.9333055035060732,0.17839537954568382,0.18284078122936348,0
BnB,303,875,860,15,0.9906976744186047,0.9737142857142858,831,0.1885036870587049,0.1885036870587049,0.18850377457450213,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.542719614921781,29,0.666706155827012,0.870060499522025,0.20462911914507806,0.2114865013459884,0
CP-SAT,101,894,878,16,1.0,0.9821029082774049,847,1.0560237094890552e-17,1.0560237094890552e-17,1.0456270119090772e-07,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,1.0,31,0.0023984448450532687,0.7555650563347774,8.468313234243768e-05,0.026677227005678823,0
