ReferenceMethod,ComparatorMethod,FeasibleBenchmarkRows,CertifiedOptimalRows,ReferencePassRate,ComparatorPassRate,PairedPassDifference,PairedPassDifferenceCI025,PairedPassDifferenceCI975,ReferenceCertifiedGap,ComparatorCertifiedGap,ReferenceCertifiedGapLower,ReferenceCertifiedGapUpper,ComparatorCertifiedGapLower,ComparatorCertifiedGapUpper,PairedCertifiedGapDifference,PairedCertifiedGapDifferenceUpperReference,PairedCertifiedGapDifferenceCI025,PairedCertifiedGapDifferenceCI975,ReferenceGapWins,CertifiedGapTies,ComparatorGapWins,BootstrapSamples,BootstrapSeed
Ours (Hero),Adaptive Repair (64 completions),2621,2537,0.9946585272796642,0.4853109500190767,0.5093475772605875,0.489041991890519,0.5278953351236281,0.040133871030539066,0.6235897413470818,0.040133871030539066,0.04013397725486932,0.6235897413470818,0.6235898077940392,-0.5834558703165428,-0.5834558305391698,-0.5993752916054875,-0.566330747069839,2151,213,173,10000,260726
Ours (Hero),Base (Best-of-64),2621,2537,0.9946585272796642,0.8607401755055323,0.133918351774132,0.1204438524040303,0.14708439207379606,0.040133871030539066,0.31806753824140854,0.040133871030539066,0.04013397725486932,0.31806753824140854,0.3180676375430032,-0.2779336672108695,-0.2779336602881339,-0.2924048175335911,-0.2630755339207067,1626,463,448,10000,260726
Ours (Hero),BnB,2621,2537,0.9946585272796642,0.9889355207935903,0.005723006486074018,0.001447931197038354,0.010237878114130313,0.040133871030539066,0.17792677958332628,0.040133871030539066,0.04013397725486932,0.17792677958332628,0.1779268592135798,-0.13779290855278722,-0.1377928819587105,-0.14910226384465047,-0.127262735568316,1021,798,718,10000,260726
Ours (Hero),CP-SAT,2621,2537,0.9946585272796642,1.0,-0.00534147272033575,-0.00844767000406138,-0.0026893397609083366,0.040133871030539066,9.01371331486953e-18,0.040133871030539066,0.04013397725486932,9.01371331486953e-18,1.0798561919360238e-07,0.04013387103053905,0.040133869269250125,0.03598838856330799,0.044296923075113896,0,1295,1242,10000,260726
Ours (Hero),"Certified Universal Search (191,699 pool)",2621,2537,0.9946585272796642,0.9732926363983212,0.021365890881343,0.014679605897973798,0.028089473113111718,0.040133871030539066,0.1810301483461514,0.040133871030539066,0.04013397725486932,0.1810301483461514,0.18103024844412366,-0.14089627731561233,-0.14089627118925432,-0.15044886462009546,-0.13237530336275838,2065,135,337,10000,260726
Ours (Hero),Frozen Hero,2621,2537,0.9946585272796642,0.9767264402899657,0.017932086989698587,0.012963868683146041,0.02321254942963601,0.040133871030539066,0.05285002454991011,0.040133871030539066,0.04013397725486932,0.05285002454991011,0.05285012935660656,-0.012716153519371049,-0.012716152101737238,-0.019149509897147584,-0.006508526025986662,611,1234,692,10000,260726
Ours (Hero),Greedy,2621,2537,0.9946585272796642,0.9996184662342618,-0.0049599389545974815,-0.00806801928272501,-0.0023017428616835304,0.040133871030539066,0.24994776581393466,0.040133871030539066,0.04013397725486932,0.24994776581393466,0.2499478488162272,-0.20981389478339563,-0.20981387156135786,-0.22066151668790993,-0.19904957655041847,1759,415,363,10000,260726
Ours (Hero),Hand-written SA,2621,2537,0.9946585272796642,0.9694772987409386,0.02518122853872568,0.01909263025147418,0.031277819746769,0.040133871030539066,0.027674089374136387,0.040133871030539066,0.04013397725486932,0.027674089374136387,0.02767419690441669,0.012459781656402673,0.012459780350452632,0.007686673220266437,0.016981838570885675,335,1113,1089,10000,260726
Ours (Hero),Local Search,2621,2537,0.9946585272796642,1.0,-0.00534147272033575,-0.008431976302731719,-0.0026893397609083366,0.040133871030539066,0.09101916849146155,0.040133871030539066,0.04013397725486932,0.09101916849146155,0.09101926820620154,-0.0508852974609225,-0.05088529095133222,-0.0598951413166445,-0.041787721697097296,794,1018,725,10000,260726
Ours (Hero),ShinkaEvolve,2621,2537,0.9946585272796642,0.9275085845097291,0.06714994276993513,0.05699099713643627,0.07757929229641901,0.040133871030539066,0.15078042979724507,0.040133871030539066,0.04013397725486932,0.15078042979724507,0.15078052803723194,-0.11064655876670601,-0.11064655078236262,-0.12308818271250682,-0.09899055417580824,932,761,844,10000,260726
